name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_my_reverse/1/threads:1",764162941,1.7739,1.76383,ns,1.1339e+09,5.66948e+08,,,
"BM_my_reverse/2/threads:1",681364676,2.11264,2.10321,ns,1.90186e+09,9.50929e+08,,,
"BM_my_reverse/4/threads:1",476818125,2.95752,2.93941,ns,2.72163e+09,1.36082e+09,,,
"BM_my_reverse/8/threads:1",393917908,3.69289,3.67047,ns,4.35912e+09,2.17956e+09,,,
"BM_my_reverse/16/threads:1",298089883,4.72279,4.69708,ns,6.81275e+09,3.40637e+09,,,
"BM_my_reverse/32/threads:1",395527153,3.54268,3.52246,ns,1.81691e+10,9.08455e+09,,,
"BM_my_reverse/64/threads:1",317336549,4.41598,4.39247,ns,2.91408e+10,1.45704e+10,,,
"BM_my_reverse/128/threads:1",226417047,6.20069,6.16482,ns,4.1526e+10,2.0763e+10,,,
"BM_my_reverse/256/threads:1",149848492,9.3742,9.32596,ns,5.49005e+10,2.74503e+10,,,
"BM_my_reverse/512/threads:1",80497243,17.2698,17.2456,ns,5.93774e+10,2.96887e+10,,,
"BM_my_reverse/1024/threads:1",42306809,33.6508,33.3775,ns,6.13587e+10,3.06794e+10,,,
"BM_my_reverse/2048/threads:1",21584287,65.1729,64.9926,ns,6.30225e+10,3.15113e+10,,,
"BM_my_reverse/4096/threads:1",10550431,133.796,132.884,ns,6.16476e+10,3.08238e+10,,,
"BM_my_reverse/8192/threads:1",5395094,261.17,259.798,ns,6.30644e+10,3.15322e+10,,,
"BM_my_reverse/16384/threads:1",2728603,516.714,513.591,ns,6.38017e+10,3.19008e+10,,,
"BM_my_reverse/32768/threads:1",1369166,1027.79,1022.83,ns,6.40735e+10,3.20367e+10,,,
"BM_my_reverse/65536/threads:1",683190,2090.25,2062.68,ns,6.35445e+10,3.17723e+10,,,
"BM_my_reverse/131072/threads:1",313774,4506.02,4481.81,ns,5.84906e+10,2.92453e+10,,,
"BM_my_reverse/262144/threads:1",154105,8872.2,8817.23,ns,5.94618e+10,2.97309e+10,,,
"BM_my_reverse/524288/threads:1",76805,18368.3,18247.4,ns,5.74643e+10,2.87322e+10,,,
"BM_my_reverse/1048576/threads:1",34892,40388.8,40170,ns,5.22069e+10,2.61034e+10,,,
"BM_my_reverse/2097152/threads:1",17432,79900.3,79349,ns,5.28589e+10,2.64295e+10,,,
"BM_my_reverse/4194304/threads:1",8799,161587,160611,ns,5.22293e+10,2.61146e+10,,,
"BM_my_reverse/8388608/threads:1",4285,328495,326325,ns,5.14127e+10,2.57063e+10,,,
"BM_my_reverse/16777216/threads:1",2158,651610,647838,ns,5.17945e+10,2.58972e+10,,,
"BM_my_reverse/33554432/threads:1",919,1.4107e+06,1.40298e+06,ns,4.78331e+10,2.39166e+10,,,
"BM_my_reverse/67108864/threads:1",420,3.29754e+06,3.28805e+06,ns,4.08199e+10,2.041e+10,,,
"BM_my_reverse/134217728/threads:1",202,6.86314e+06,6.83618e+06,ns,3.92669e+10,1.96334e+10,,,
"BM_my_reverse/268435456/threads:1",98,1.36406e+07,1.36081e+07,ns,3.94522e+10,1.97261e+10,,,
"BM_std_reverse/1/threads:1",953886406,1.47076,1.46773,ns,1.36265e+09,6.81324e+08,,,
"BM_std_reverse/2/threads:1",785096623,1.78742,1.77898,ns,2.24848e+09,1.12424e+09,,,
"BM_std_reverse/4/threads:1",453312092,3.04799,3.03313,ns,2.63754e+09,1.31877e+09,,,
"BM_std_reverse/8/threads:1",379866016,3.9174,3.89188,ns,4.11112e+09,2.05556e+09,,,
"BM_std_reverse/16/threads:1",317754294,4.4224,4.41297,ns,7.25135e+09,3.62567e+09,,,
"BM_std_reverse/32/threads:1",207390509,6.79399,6.76283,ns,9.46349e+09,4.73175e+09,,,
"BM_std_reverse/64/threads:1",118783991,11.853,11.8119,ns,1.08365e+10,5.41825e+09,,,
"BM_std_reverse/128/threads:1",61000318,22.7813,22.753,ns,1.12513e+10,5.62563e+09,,,
"BM_std_reverse/256/threads:1",27020767,52.0259,52.0073,ns,9.84477e+09,4.92239e+09,,,
"BM_std_reverse/512/threads:1",14641564,95.4136,95.3761,ns,1.07364e+10,5.36822e+09,,,
"BM_std_reverse/1024/threads:1",7844324,180.193,179.941,ns,1.13815e+10,5.69074e+09,,,
"BM_std_reverse/2048/threads:1",4002836,349.161,348.038,ns,1.17688e+10,5.88441e+09,,,
"BM_std_reverse/4096/threads:1",2037546,688.195,685.657,ns,1.19477e+10,5.97384e+09,,,
"BM_std_reverse/8192/threads:1",1027674,1366.97,1363.59,ns,1.20153e+10,6.00765e+09,,,
"BM_std_reverse/16384/threads:1",515379,2725.2,2717.13,ns,1.20598e+10,6.02989e+09,,,
"BM_std_reverse/32768/threads:1",258322,5441.88,5425.86,ns,1.20785e+10,6.03923e+09,,,
"BM_std_reverse/65536/threads:1",129070,10880.1,10857.5,ns,1.20721e+10,6.03603e+09,,,
"BM_std_reverse/131072/threads:1",64486,21757.9,21710.7,ns,1.20744e+10,6.0372e+09,,,
"BM_std_reverse/262144/threads:1",31529,44563.2,44366.9,ns,1.18171e+10,5.90855e+09,,,
"BM_std_reverse/524288/threads:1",15576,90515.3,89886,ns,1.16656e+10,5.83281e+09,,,
"BM_std_reverse/1048576/threads:1",7442,187049,186762,ns,1.1229e+10,5.61452e+09,,,
"BM_std_reverse/2097152/threads:1",3743,374862,374489,ns,1.12001e+10,5.60003e+09,,,
"BM_std_reverse/4194304/threads:1",1865,750183,748195,ns,1.12118e+10,5.6059e+09,,,
"BM_std_reverse/8388608/threads:1",928,1.5145e+06,1.50859e+06,ns,1.11211e+10,5.56056e+09,,,
"BM_std_reverse/16777216/threads:1",468,2.99784e+06,2.99168e+06,ns,1.12159e+10,5.60796e+09,,,
"BM_std_reverse/33554432/threads:1",230,6.00676e+06,5.99639e+06,ns,1.11915e+10,5.59577e+09,,,
"BM_std_reverse/67108864/threads:1",117,1.19979e+07,1.19812e+07,ns,1.12024e+10,5.60119e+09,,,
"BM_std_reverse/134217728/threads:1",57,2.41538e+07,2.40991e+07,ns,1.11388e+10,5.5694e+09,,,
"BM_std_reverse/268435456/threads:1",28,4.94422e+07,4.92009e+07,ns,1.09118e+10,5.45591e+09,,,
"BM_memset/1/threads:1",433607022,3.24668,3.23349,ns,6.18526e+08,3.09263e+08,,,
"BM_memset/2/threads:1",236908680,5.01615,5.00169,ns,7.9973e+08,3.99865e+08,,,
"BM_memset/4/threads:1",395860431,3.53008,3.52265,ns,2.27102e+09,1.13551e+09,,,
"BM_memset/8/threads:1",317028986,4.41013,4.4025,ns,3.6343e+09,1.81715e+09,,,
"BM_memset/16/threads:1",280619608,5.00949,4.99542,ns,6.40587e+09,3.20293e+09,,,
"BM_memset/32/threads:1",432467163,3.3317,3.28162,ns,1.95026e+10,9.75129e+09,,,
"BM_memset/64/threads:1",395479109,3.42037,3.37233,ns,3.79559e+10,1.89779e+10,,,
"BM_memset/128/threads:1",265596691,5.4377,5.33114,ns,4.80198e+10,2.40099e+10,,,
"BM_memset/256/threads:1",125645053,12.5749,11.5565,ns,4.4304e+10,2.2152e+10,,,
"BM_memset/512/threads:1",72536981,19.5586,19.4175,ns,5.2736e+10,2.6368e+10,,,
"BM_memset/1024/threads:1",36156651,39.3147,38.8446,ns,5.27229e+10,2.63614e+10,,,
"BM_memset/2048/threads:1",18209913,77.2444,76.7365,ns,5.33775e+10,2.66887e+10,,,
"BM_memset/4096/threads:1",9133731,153.982,153.292,ns,5.34406e+10,2.67203e+10,,,
"BM_memset/8192/threads:1",4544599,308.781,306.328,ns,5.34852e+10,2.67426e+10,,,
"BM_memset/16384/threads:1",2314922,608.558,606.083,ns,5.40652e+10,2.70326e+10,,,
"BM_memset/32768/threads:1",1139471,1249.49,1227.3,ns,5.33987e+10,2.66993e+10,,,
