name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_my_reverse/1/threads:1",788685295,1.78943,1.78783,ns,1.11867e+09,5.59336e+08,,,
"BM_my_reverse/2/threads:1",531772455,2.64492,2.64488,ns,1.51236e+09,7.56178e+08,,,
"BM_my_reverse/4/threads:1",431704635,3.227,3.22699,ns,2.47909e+09,1.23955e+09,,,
"BM_my_reverse/8/threads:1",324848974,4.29744,4.29742,ns,3.72316e+09,1.86158e+09,,,
"BM_my_reverse/16/threads:1",208731041,6.70663,6.70661,ns,4.77142e+09,2.38571e+09,,,
"BM_my_reverse/32/threads:1",524260334,2.68372,2.68368,ns,2.38479e+10,1.19239e+10,,,
"BM_my_reverse/64/threads:1",393979653,3.57414,3.57411,ns,3.58131e+10,1.79066e+10,,,
"BM_my_reverse/128/threads:1",254907794,5.43289,5.43286,ns,4.71206e+10,2.35603e+10,,,
"BM_my_reverse/256/threads:1",149287090,9.47259,9.47298,ns,5.40485e+10,2.70242e+10,,,
"BM_my_reverse/512/threads:1",84864481,16.5172,16.5171,ns,6.19964e+10,3.09982e+10,,,
"BM_my_reverse/1024/threads:1",34937767,40.3796,40.3791,ns,5.07193e+10,2.53597e+10,,,
"BM_my_reverse/2048/threads:1",18992517,74.4941,74.4936,ns,5.49846e+10,2.74923e+10,,,
"BM_my_reverse/4096/threads:1",9841420,145.079,145.076,ns,5.64669e+10,2.82334e+10,,,
"BM_my_reverse/8192/threads:1",4977068,280.757,280.755,ns,5.8357e+10,2.91785e+10,,,
"BM_my_reverse/16384/threads:1",2509417,559.278,559.272,ns,5.85905e+10,2.92952e+10,,,
"BM_my_reverse/32768/threads:1",1166488,1207.76,1207.74,ns,5.42633e+10,2.71316e+10,,,
"BM_my_reverse/65536/threads:1",559406,2505.52,2505.47,ns,5.23142e+10,2.61571e+10,,,
"BM_my_reverse/131072/threads:1",255219,5523.26,5523.19,ns,4.74624e+10,2.37312e+10,,,
"BM_my_reverse/262144/threads:1",108977,12745.9,12745.8,ns,4.11343e+10,2.05671e+10,,,
"BM_my_reverse/524288/threads:1",54818,25905.3,25905,ns,4.04778e+10,2.02389e+10,,,
"BM_my_reverse/1048576/threads:1",27181,51868.9,51868.6,ns,4.0432e+10,2.0216e+10,,,
"BM_my_reverse/2097152/threads:1",13728,102904,102903,ns,4.076e+10,2.038e+10,,,
"BM_my_reverse/4194304/threads:1",5453,250873,250830,ns,3.34433e+10,1.67217e+10,,,
"BM_my_reverse/8388608/threads:1",1662,843385,842160,ns,1.99217e+10,9.96083e+09,,,
"BM_my_reverse/16777216/threads:1",660,2.25208e+06,2.25205e+06,ns,1.48995e+10,7.44974e+09,,,
"BM_my_reverse/33554432/threads:1",284,4.83404e+06,4.834e+06,ns,1.38827e+10,6.94134e+09,,,
"BM_my_reverse/67108864/threads:1",140,1.04222e+07,1.04219e+07,ns,1.28784e+10,6.43921e+09,,,
"BM_my_reverse/134217728/threads:1",67,2.09647e+07,2.09646e+07,ns,1.28042e+10,6.40212e+09,,,
"BM_my_reverse/268435456/threads:1",33,4.23564e+07,4.23562e+07,ns,1.26751e+10,6.33757e+09,,,
"BM_std_reverse/1/threads:1",789043122,1.78962,1.78129,ns,1.12278e+09,5.61392e+08,,,
"BM_std_reverse/2/threads:1",543022931,2.58089,2.58088,ns,1.54986e+09,7.74931e+08,,,
"BM_std_reverse/4/threads:1",428943252,3.26795,3.26795,ns,2.44802e+09,1.22401e+09,,,
"BM_std_reverse/8/threads:1",326110681,4.25787,4.25787,ns,3.75774e+09,1.87887e+09,,,
"BM_std_reverse/16/threads:1",210763099,6.61907,6.61906,ns,4.83452e+09,2.41726e+09,,,
"BM_std_reverse/32/threads:1",129300154,10.7699,10.7699,ns,5.94249e+09,2.97125e+09,,,
"BM_std_reverse/64/threads:1",56393241,25.2216,25.2216,ns,5.07501e+09,2.53751e+09,,,
"BM_std_reverse/128/threads:1",29339851,43.937,43.937,ns,5.82652e+09,2.91326e+09,,,
"BM_std_reverse/256/threads:1",17003364,78.0778,78.0776,ns,6.55758e+09,3.27879e+09,,,
"BM_std_reverse/512/threads:1",9434058,148.621,148.621,ns,6.89002e+09,3.44501e+09,,,
"BM_std_reverse/1024/threads:1",4653889,291.125,291.125,ns,7.03477e+09,3.51738e+09,,,
"BM_std_reverse/2048/threads:1",2444536,577.406,577.406,ns,7.09379e+09,3.5469e+09,,,
"BM_std_reverse/4096/threads:1",1185486,1202.03,1202.03,ns,6.81513e+09,3.40756e+09,,,
"BM_std_reverse/8192/threads:1",583133,2377.79,2377.79,ns,6.89043e+09,3.44522e+09,,,
"BM_std_reverse/16384/threads:1",249815,5604.45,5604.46,ns,5.84678e+09,2.92339e+09,,,
"BM_std_reverse/32768/threads:1",126710,11060.8,11060.7,ns,5.92511e+09,2.96256e+09,,,
"BM_std_reverse/65536/threads:1",62203,22452.8,22452.8,ns,5.83767e+09,2.91883e+09,,,
"BM_std_reverse/131072/threads:1",35653,39201.9,39201.9,ns,6.68702e+09,3.34351e+09,,,
"BM_std_reverse/262144/threads:1",17690,80060.4,80060.2,ns,6.54867e+09,3.27433e+09,,,
"BM_std_reverse/524288/threads:1",8459,164338,164337,ns,6.38063e+09,3.19031e+09,,,
"BM_std_reverse/1048576/threads:1",4228,332803,332804,ns,6.30147e+09,3.15073e+09,,,
"BM_std_reverse/2097152/threads:1",2085,673856,673854,ns,6.22435e+09,3.11217e+09,,,
"BM_std_reverse/4194304/threads:1",995,1.41977e+06,1.41976e+06,ns,5.90845e+09,2.95423e+09,,,
"BM_std_reverse/8388608/threads:1",465,2.9791e+06,2.97909e+06,ns,5.63165e+09,2.81583e+09,,,
"BM_std_reverse/16777216/threads:1",236,5.94059e+06,5.93981e+06,ns,5.64908e+09,2.82454e+09,,,
"BM_std_reverse/33554432/threads:1",120,1.19825e+07,1.19825e+07,ns,5.60059e+09,2.80029e+09,,,
"BM_std_reverse/67108864/threads:1",59,2.3809e+07,2.3806e+07,ns,5.63797e+09,2.81899e+09,,,
"BM_std_reverse/134217728/threads:1",29,4.75569e+07,4.75567e+07,ns,5.64453e+09,2.82227e+09,,,
"BM_std_reverse/268435456/threads:1",15,9.5474e+07,9.54625e+07,ns,5.62389e+09,2.81195e+09,,,
"BM_memset/1/threads:1",612329160,2.30341,2.30342,ns,8.68276e+08,4.34138e+08,,,
"BM_memset/2/threads:1",613681144,2.30192,2.2885,ns,1.74787e+09,8.73936e+08,,,
"BM_memset/4/threads:1",611161023,2.28702,2.28701,ns,3.49801e+09,1.74901e+09,,,
"BM_memset/8/threads:1",609757425,2.28093,2.28092,ns,7.01471e+09,3.50736e+09,,,
"BM_memset/16/threads:1",788856834,1.84584,1.84584,ns,1.73362e+10,8.66812e+09,,,
"BM_memset/32/threads:1",736066524,1.77446,1.77445,ns,3.60675e+10,1.80337e+10,,,
"BM_memset/64/threads:1",613221493,2.28417,2.28416,ns,5.6038e+10,2.8019e+10,,,
"BM_memset/128/threads:1",394659246,3.54899,3.549,ns,7.21331e+10,3.60665e+10,,,
"BM_memset/256/threads:1",201836627,6.90643,6.90644,ns,7.41337e+10,3.70669e+10,,,
"BM_memset/512/threads:1",106880428,14.1536,14.1535,ns,7.23494e+10,3.61747e+10,,,
"BM_memset/1024/threads:1",61764954,20.1041,20.104,ns,1.0187e+11,5.09351e+10,,,
"BM_memset/2048/threads:1",20819983,67.9603,67.9602,ns,6.02706e+10,3.01353e+10,,,
"BM_memset/4096/threads:1",12185282,116.235,116.235,ns,7.04776e+10,3.52388e+10,,,
"BM_memset/8192/threads:1",6056540,227.855,227.854,ns,7.19057e+10,3.59529e+10,,,
"BM_memset/16384/threads:1",2926618,486.449,486.446,ns,6.73621e+10,3.36811e+10,,,
"BM_memset/32768/threads:1",1049507,1335.15,1335.1,ns,4.90869e+10,2.45434e+10,,,
"BM_memset/65536/threads:1",529598,2655.04,2655.02,ns,4.93675e+10,2.46838e+10,,,
"BM_memset/131072/threads:1",261829,5376.42,5376.4,ns,4.87583e+10,2.43791e+10,,,
"BM_memset/262144/threads:1",131263,10743.9,10743.8,ns,4.87989e+10,2.43995e+10,,,
"BM_memset/524288/threads:1",64239,22238.3,22237.7,ns,4.71531e+10,2.35765e+10,,,
"BM_memset/1048576/threads:1",31660,44596.1,44594.9,ns,4.70267e+10,2.35134e+10,,,
"BM_memset/2097152/threads:1",13874,90146.9,90144,ns,4.65289e+10,2.32645e+10,,,
"BM_memset/4194304/threads:1",6087,221976,221972,ns,3.77912e+10,1.88956e+10,,,
"BM_memset/8388608/threads:1",1454,912484,912423,ns,1.83875e+10,9.19377e+09,,,
"BM_memset/16777216/threads:1",816,1.77907e+06,1.77902e+06,ns,1.88612e+10,9.43058e+09,,,
"BM_memset/33554432/threads:1",408,3.68705e+06,3.68657e+06,ns,1.82036e+10,9.1018e+09,,,
"BM_memset/67108864/threads:1",185,7.60233e+06,7.6007e+06,ns,1.76586e+10,8.8293e+09,,,
"BM_memset/134217728/threads:1",93,1.55452e+07,1.55451e+07,ns,1.72682e+10,8.63409e+09,,,
"BM_memset/268435456/threads:1",46,3.04919e+07,3.04918e+07,ns,1.76071e+10,8.80353e+09,,,
