name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_my_reverse/1/threads:1",1000000000,1.026,1.026,ns,9.74663e+08,9.74663e+08,,,
"BM_my_reverse/2/threads:1",974168530,1.4046,1.40459,ns,1.4239e+09,1.4239e+09,,,
"BM_my_reverse/4/threads:1",768603217,1.833,1.833,ns,2.18221e+09,2.18221e+09,,,
"BM_my_reverse/8/threads:1",461773865,3.18253,3.18254,ns,2.51371e+09,2.51371e+09,,,
"BM_my_reverse/16/threads:1",310964060,4.32159,4.3216,ns,3.70234e+09,3.70234e+09,,,
"BM_my_reverse/32/threads:1",167077738,8.1205,8.12052,ns,3.94064e+09,3.94064e+09,,,
"BM_my_reverse/64/threads:1",620386980,2.27274,2.27274,ns,2.81599e+10,2.81599e+10,,,
"BM_my_reverse/128/threads:1",619778916,2.28018,2.28017,ns,5.61361e+10,5.61361e+10,,,
"BM_my_reverse/256/threads:1",437032785,3.26597,3.26598,ns,7.83839e+10,7.83839e+10,,,
"BM_my_reverse/512/threads:1",277432528,5.15168,5.15168,ns,9.9385e+10,9.9385e+10,,,
"BM_my_reverse/1024/threads:1",156846858,9.24585,9.24587,ns,1.10752e+11,1.10752e+11,,,
"BM_my_reverse/2048/threads:1",77871743,19.306,19.306,ns,1.06081e+11,1.06081e+11,,,
"BM_my_reverse/4096/threads:1",37958896,37.2831,37.2832,ns,1.09862e+11,1.09862e+11,,,
"BM_my_reverse/8192/threads:1",19609870,72.9623,72.9629,ns,1.12276e+11,1.12276e+11,,,
"BM_my_reverse/16384/threads:1",6320547,220.681,220.681,ns,7.42429e+10,7.42429e+10,,,
"BM_my_reverse/32768/threads:1",3153172,425.839,425.835,ns,7.695e+10,7.695e+10,,,
"BM_my_reverse/65536/threads:1",1237281,1114.91,1114.91,ns,5.87817e+10,5.87817e+10,,,
"BM_my_reverse/131072/threads:1",612014,2259.7,2259.69,ns,5.80043e+10,5.80043e+10,,,
"BM_my_reverse/262144/threads:1",307299,4492.75,4492.73,ns,5.83484e+10,5.83484e+10,,,
"BM_my_reverse/524288/threads:1",155600,9117.65,9117.64,ns,5.75026e+10,5.75026e+10,,,
"BM_my_reverse/1048576/threads:1",55264,25891.1,25891.1,ns,4.04994e+10,4.04994e+10,,,
"BM_my_reverse/2097152/threads:1",23939,70249.4,70249.2,ns,2.9853e+10,2.9853e+10,,,
"BM_my_reverse/4194304/threads:1",10453,128516,128516,ns,3.26366e+10,3.26366e+10,,,
"BM_my_reverse/8388608/threads:1",6232,214915,214914,ns,3.90324e+10,3.90324e+10,,,
"BM_my_reverse/16777216/threads:1",2252,641000,639780,ns,2.62234e+10,2.62234e+10,,,
"BM_my_reverse/33554432/threads:1",898,1.3628e+06,1.36279e+06,ns,2.46219e+10,2.46219e+10,,,
"BM_my_reverse/67108864/threads:1",560,2.62971e+06,2.62952e+06,ns,2.55214e+10,2.55214e+10,,,
"BM_my_reverse/134217728/threads:1",267,5.39633e+06,5.39041e+06,ns,2.48994e+10,2.48994e+10,,,
"BM_my_reverse/268435456/threads:1",125,1.03738e+07,1.03737e+07,ns,2.58765e+10,2.58765e+10,,,
"BM_std_reverse/1/threads:1",1000000000,0.722532,0.70254,ns,1.42341e+09,1.42341e+09,,,
"BM_std_reverse/2/threads:1",1000000000,1.07043,1.07043,ns,1.86841e+09,1.86841e+09,,,
"BM_std_reverse/4/threads:1",831406252,1.64531,1.64528,ns,2.4312e+09,2.4312e+09,,,
"BM_std_reverse/8/threads:1",607580873,2.43369,2.4337,ns,3.28718e+09,3.28718e+09,,,
"BM_std_reverse/16/threads:1",385468817,3.85641,3.85638,ns,4.14897e+09,4.14897e+09,,,
"BM_std_reverse/32/threads:1",197064887,6.45905,6.45894,ns,4.95438e+09,4.95438e+09,,,
"BM_std_reverse/64/threads:1",93718579,15.5206,15.5202,ns,4.12365e+09,4.12365e+09,,,
"BM_std_reverse/128/threads:1",39350149,31.7401,31.7402,ns,4.03274e+09,4.03274e+09,,,
"BM_std_reverse/256/threads:1",24381634,62.0818,62.0812,ns,4.12363e+09,4.12363e+09,,,
"BM_std_reverse/512/threads:1",11413701,129.798,129.797,ns,3.94463e+09,3.94463e+09,,,
"BM_std_reverse/1024/threads:1",5992661,229.375,229.373,ns,4.46434e+09,4.46434e+09,,,
"BM_std_reverse/2048/threads:1",2826054,462.807,462.808,ns,4.42516e+09,4.42516e+09,,,
"BM_std_reverse/4096/threads:1",1493112,936.675,936.671,ns,4.37293e+09,4.37293e+09,,,
"BM_std_reverse/8192/threads:1",751482,1846.82,1846.82,ns,4.43573e+09,4.43573e+09,,,
"BM_std_reverse/16384/threads:1",379601,3795.15,3795.16,ns,4.31708e+09,4.31708e+09,,,
"BM_std_reverse/32768/threads:1",185867,7622.38,7622.4,ns,4.29891e+09,4.29891e+09,,,
"BM_std_reverse/65536/threads:1",87749,15268.9,15269,ns,4.2921e+09,4.2921e+09,,,
"BM_std_reverse/131072/threads:1",45430,30847.2,30847.3,ns,4.24906e+09,4.24906e+09,,,
